word,No,Yes,jitter_val_one,jitter_val_two,jitter_one,jitter_two,label_class
29,3.783961050427588e-5,9.081002542680712e-5,0.5181761085987091,0.8856161395087838,41.45408868789673,70.8492911607027,nolabel
60,6.306601750712645e-5,9.081002542680712e-5,0.97571822558529675,0.9746835925616324,78.05745804682374,77.97468740493059,nolabel
80,2.5226407002850583e-5,9.081002542680712e-5,0.6891368725337088,0.36718859360553324,55.130949802696705,29.37508748844266,nolabel
86,1.639716455185288e-4,9.081002542680712e-5,0.7848737651947886,0.8043201323598623,62.789901215583086,64.34561058878899,nolabel
89,1.2613203501425292e-5,1.8162005085361425e-4,0.03276842809282243,0.760611119447276,2.6214742474257946,60.84888955578208,nolabel
91,5.045281400570116e-4,9.081002542680712e-5,0.8507485792506486,0.4279642605688423,68.05988634005189,34.23714084550738,nolabel
93,7.441790065840922e-4,3.632401017072285e-4,0.99528579111211,0.4633078519254923,79.6228632889688,37.06462815403938,nolabel
ababa,1.2613203501425292e-5,9.081002542680712e-5,0.15983460028655827,0.6458416907116771,12.786768022924662,51.667335256934166,nolabel
aboriginal,0.0015514240306753108,0.002270250635670178,0.09300512750633061,0.7122800063807517,7.440410200506449,56.98240051046014,label
abstract,1.2613203501425292e-5,1.8162005085361425e-4,0.46833063033409417,0.3620180564466864,37.46645042672753,28.96144451573491,nolabel
abuse,2.522640700285058e-4,2.7243007628042137e-4,0.5567532505374402,0.5861163632944226,44.540260042995214,46.88930906355381,nolabel
abused,1.2613203501425292e-5,9.081002542680712e-5,0.9636381033342332,0.6278211262542754,77.09104826673865,50.225690100342035,nolabel
academic,0.0012613203501425291,0.005630221576462042,0.02172565390355885,0.3158773595932871,1.738052312284708,25.27018876746297,nolabel
academy,2.5226407002850583e-5,1.8162005085361425e-4,0.10074222390539944,0.312091127038002,8.059377912431955,24.96729016304016,nolabel
access,2.522640700285058e-4,5.448601525608427e-4,0.4023690528701991,0.0855401277076453,32.18952422961593,6.843210216611624,nolabel
accommodation,2.1442445952422995e-4,9.081002542680712e-5,0.6492334506474435,0.5530660229269415,51.93867605179548,44.24528183415532,nolabel
accountability,1.2613203501425292e-5,9.081002542680712e-5,0.8089426427613944,0.17502121278084815,64.71541142091155,14.001697022467852,nolabel
accountancy,8.829242450997704e-5,9.081002542680712e-5,0.3379551349207759,0.9914710333105177,27.03641079366207,79.31768266484141,nolabel
achievement,3.783961050427588e-5,3.632401017072285e-4,0.8614623497705907,0.06445966009050608,68.91698798164725,5.156772807240486,nolabel
act,3.279432910370576e-4,1.8162005085361425e-4,0.7008405446540564,0.8975332458503544,56.067243572324514,71.80265966802835,nolabel
action,8.829242450997704e-5,1.8162005085361425e-4,0.7527986529748887,0.36629060260020196,60.223892237991095,29.303248208016157,nolabel
active,1.2613203501425292e-5,9.081002542680712e-5,0.6303662310820073,0.1952631757594645,50.42929848656058,15.62105406075716,nolabel
